Participant,Session,Session_Game_MATB,SYSMON,TRACK,RESMAN,session_factor_MATB,Group_MATB,SYSMON_log,TRACK_log,RESMAN_log,SYSMON_log_inv,TRACK_log_inv,RESMAN_log_inv,SYSMON_z,TRACK_z,RESMAN_z,MATB_z_mean,Date,Session_Game_SF,TotalScore,Flight,Bonus,Mine,Fortress,NumberofBonus,NumberofMine,Bonus_Prct,Mine_Prct,FortressShot,session_factor_SF,Group_SF,SF_zscore
P019,T09,8.0,1.56,2.18,125.49,10.0,B,0.9400072584914712,1.1568811967920856,4.84016325365945,-0.9400072584914712,-1.1568811967920856,-4.84016325365945,0.8827192029871413,1.3220262803125953,0.4608607181944122,0.8885354004980496,0023-10-10 18:43:58,7.0,7285.0,-85.0,1200.0,1170.0,5000.0,17.0,22.0,100.0,100.0,275.0,10.0,B,1.41942215401504
P019,T10,7.0,1.64,2.29,106.95,11.0,B,0.9707789171582247,1.1908875647772805,4.681668156960816,-0.9707789171582247,-1.1908875647772805,-4.681668156960816,0.8008441892965611,1.1331213259563822,0.7436182831574059,0.8925279328034496,0023-10-13 18:36:01,3.0,7505.0,-85.0,650.0,940.0,6000.0,14.0,19.0,85.7142857142857,94.7368421052632,357.0,11.0,B,1.51881290759122
P020,E1,4.0,2.64,2.75,115.38,1.0,A,1.2919836816486494,1.3217558399823195,4.756860699228524,-1.2919836816486494,-1.3217558399823195,-4.756860699228524,-0.053794319954381394,0.4061496727340485,0.6094736906882738,0.3206096811559803,0023-08-31 14:53:08,0.0,5160.0,-100.0,850.0,910.0,3500.0,14.0,21.0,92.8571428571429,85.7142857142857,213.0,1.0,A,0.459397829699686
P020,E2,4.0,1.22,2.07,105.79,12.0,A,0.797507195884188,1.1216775615991057,4.670864289183454,-0.797507195884188,-1.1216775615991057,-4.670864289183454,1.2618731089637913,1.5175820392280386,0.7628925409012758,1.1807825630310351,0023-10-11 09:32:32,3.0,10950.0,0.0,1100.0,1100.0,8750.0,17.0,21.0,100.0,100.0,435.0,12.0,A,3.07518175336364
P020,E3,5.0,1.17,2.04,148.71,13.0,A,0.7747271675523681,1.1118575154181303,5.008700089461746,-0.7747271675523681,-1.1118575154181303,-5.008700089461746,1.322484568090454,1.572132274536928,0.16018854416093262,1.0182684622627716,0023-11-09 17:56:51,3.0,10320.0,-100.0,800.0,1120.0,8500.0,15.0,21.0,93.3333333333333,95.2380952380952,443.0,13.0,A,2.79056277721368
P020,T01,9.0,1.55,2.67,75.15,2.0,A,0.9360933591703348,1.3001916620664788,4.332705079341171,-0.9360933591703348,-1.3001916620664788,-4.332705079341171,0.8931330244834722,0.5259384148512488,1.366173505022344,0.928414981452355,0023-09-07 17:06:49,8.0,6580.0,0.0,600.0,1230.0,4750.0,12.0,23.0,100.0,100.0,253.0,2.0,A,1.10091996641865
P020,T02,8.0,1.66,2.24,101.0,3.0,A,0.9783261227936078,1.1755733298042381,4.624972813284271,-0.9783261227936078,-1.1755733298042381,-4.624972813284271,0.7807631279727452,1.218191712180585,0.844763603464707,0.9479061478726791,0023-09-11 14:46:01,6.0,7230.0,-50.0,750.0,1030.0,5500.0,14.0,21.0,100.0,95.2380952380952,290.0,3.0,A,1.394574465621
P020,T03,8.0,1.79,2.26,120.39,4.0,A,1.0260415958332743,1.1817271953786161,4.799008502909713,-1.0260415958332743,-1.1817271953786161,-4.799008502909713,0.6538052330252069,1.1840070648831065,0.5342813939821385,0.7906978972968174,0023-09-13 11:38:18,10.0,7960.0,0.0,750.0,1210.0,6000.0,13.0,22.0,100.0,100.0,311.0,4.0,A,1.72437105703286
P020,T04,10.0,1.53,2.31,128.35,5.0,A,0.928219302739429,1.1969481893889715,4.862521908632038,-0.928219302739429,-1.1969481893889715,-4.862521908632038,0.9140837468693717,1.09945463105559,0.420972551509246,0.8115036431447359,0023-09-19 16:56:39,4.0,7670.0,0.0,650.0,1270.0,5750.0,11.0,23.0,100.0,100.0,290.0,5.0,A,1.59335597277335
P020,T05,9.0,1.39,2.1,116.81,6.0,A,0.8712933659434192,1.1314021114911006,4.769073157258028,-0.8712933659434192,-1.1314021114911006,-4.769073157258028,1.0655481805873388,1.4635622846255543,0.5876864873831695,1.0389323175320209,0023-09-20 18:37:01,7.0,9200.0,-50.0,1050.0,1200.0,7000.0,18.0,23.0,94.4444444444444,95.6521739130435,343.0,6.0,A,2.28457348628041
P020,T06,10.0,1.12,2.1,117.12,7.0,A,0.7514160886839212,1.1314021114911006,4.771701056875722,-0.7514160886839212,-1.1314021114911006,-4.771701056875722,1.3845090082470837,1.4635622846255543,0.5829982761239951,1.143689856332211,0023-09-26 15:40:01,8.0,9300.0,-100.0,900.0,1000.0,7500.0,17.0,22.0,100.0,86.3636363636364,384.0,7.0,A,2.32975110154231
P020,T07,7.0,1.39,1.93,113.32,8.0,A,0.8712933659434192,1.0750024230289759,4.739001533621612,-0.8712933659434192,-1.0750024230289759,-4.739001533621612,1.0655481805873388,1.776861857790225,0.6413347026972639,1.1612482470249426,0023-09-27 11:25:31,9.0,10610.0,0.0,750.0,1110.0,8750.0,16.0,22.0,100.0,95.4545454545455,441.0,8.0,A,2.92157786147319
P020,T08,8.0,1.25,2.13,104.8,9.0,A,0.8109302162163288,1.1410330045520618,4.661550519424199,-0.8109302162163288,-1.1410330045520618,-4.661550519424199,1.226158102978418,1.4100627925632878,0.7795084420402265,1.1385764458606442,0023-10-03 17:37:22,10.0,10540.0,-100.0,850.0,1040.0,8750.0,16.0,21.0,100.0,90.4761904761905,437.0,9.0,A,2.88995353078986
